id,type,unit,lga,ward,pollingUnit,check,severity,magnitude,statement,basis,confirmedBy,confirmedAt,image,withdrawnAt,withdrawnReason
"NO-SHEET/29/02/09/003","no sheet published","29/02/09/003","Atakumosa West","Muroko","L.A. SCHOOL, ISOLO","","","","INEC published no EC8A result sheet for this polling unit.","the register lists the unit; the IReV portal has no sheet for it","not required — absence of a published document","","","2026-09-06","INEC has since published a sheet for this unit; verified by re-polling IReV on 2026-09-06 across all 3,763 polling units. The absence was true when the audit ran and is no longer true. The sheet is readable and should be audited."
"NO-SHEET/29/04/10/001","no sheet published","29/04/10/001","Ayedire","Kuta Ii","SAINT PETER AFRICAN CHURCH SCHOOL, KUTA","","","","INEC published no EC8A result sheet for this polling unit.","the register lists the unit; the IReV portal has no sheet for it","not required — absence of a published document","","","2026-09-06","INEC has since published a sheet for this unit; verified by re-polling IReV on 2026-09-06 across all 3,763 polling units. The absence was true when the audit ran and is no longer true. The sheet is readable and should be audited."
"NO-SHEET/29/06/09/013","no sheet published","29/06/09/013","Boripe","Isale Asa Iree","OPEN SPACE, YEKINI OYEDELE JUNCTION, OPPOSITE HEPHZIBAH GAS PLANT , IREE","","","","INEC published no EC8A result sheet for this polling unit.","the register lists the unit; the IReV portal has no sheet for it","not required — absence of a published document","","","",""
"NO-SHEET/29/06/11/006","no sheet published","29/06/11/006","Boripe","Oke Aree","IYAJI ASALU, IREE","","","","INEC published no EC8A result sheet for this polling unit.","the register lists the unit; the IReV portal has no sheet for it","not required — absence of a published document","","","",""
"NO-SHEET/29/07/04/010","no sheet published","29/07/04/010","Ede North","Olusokun","IDIOMO APENA COMPD.","","","","INEC published no EC8A result sheet for this polling unit.","the register lists the unit; the IReV portal has no sheet for it","not required — absence of a published document","","","2026-09-06","INEC has since published a sheet for this unit; verified by re-polling IReV on 2026-09-06 across all 3,763 polling units. The absence was true when the audit ran and is no longer true. The sheet is readable and should be audited."
"NO-SHEET/29/11/04/017","no sheet published","29/11/04/017","Ife Central","Ilare Iv","OPEN SPACE, IGBO AGBO","","","","INEC published no EC8A result sheet for this polling unit.","the register lists the unit; the IReV portal has no sheet for it","not required — absence of a published document","","","",""
"NO-SHEET/29/11/09/011","no sheet published","29/11/09/011","Ife Central","Iremo V","OPEN SPACE GARAGE - ISALE","","","","INEC published no EC8A result sheet for this polling unit.","the register lists the unit; the IReV portal has no sheet for it","not required — absence of a published document","","","",""
"NO-SHEET/29/11/05/010","no sheet published","29/11/05/010","Ife Central","Iremo/Ajebandele","L.A. PRY. SCHOOL, AJEBAMIDELE","","","","INEC published no EC8A result sheet for this polling unit.","the register lists the unit; the IReV portal has no sheet for it","not required — absence of a published document","","","",""
"NO-SHEET/29/12/01/003","no sheet published","29/12/01/003","Ifedayo","Oyi","ST. STEPHEN SCHOOL, ARAROMI","","","","INEC published no EC8A result sheet for this polling unit.","the register lists the unit; the IReV portal has no sheet for it","not required — absence of a published document","","","",""
"NO-SHEET/29/14/07/006","no sheet published","29/14/07/006","Ifelodun","Okeba Ikirun","OJA BAALE/OJA BAALE","","","","INEC published no EC8A result sheet for this polling unit.","the register lists the unit; the IReV portal has no sheet for it","not required — absence of a published document","","","",""
"NO-SHEET/29/18/11/010","no sheet published","29/18/11/010","Ilesa East","Biladu","OPEN SPACE OPPOSITE TREASURE LAND, BILADU","","","","INEC published no EC8A result sheet for this polling unit.","the register lists the unit; the IReV portal has no sheet for it","not required — absence of a published document","","","2026-09-06","INEC has since published a sheet for this unit; verified by re-polling IReV on 2026-09-06 across all 3,763 polling units. The absence was true when the audit ran and is no longer true. The sheet is readable and should be audited."
"NO-SHEET/29/18/03/005","no sheet published","29/18/03/005","Ilesa East","Ifosan/Oke-Eso","N.U.D PRY. SCHOOL I","","","","INEC published no EC8A result sheet for this polling unit.","the register lists the unit; the IReV portal has no sheet for it","not required — absence of a published document","","","2026-09-06","INEC has since published a sheet for this unit; verified by re-polling IReV on 2026-09-06 across all 3,763 polling units. The absence was true when the audit ran and is no longer true. The sheet is readable and should be audited."
"NO-SHEET/29/18/03/006","no sheet published","29/18/03/006","Ilesa East","Ifosan/Oke-Eso","N.U.D. PRY. SCHOOL II","","","","INEC published no EC8A result sheet for this polling unit.","the register lists the unit; the IReV portal has no sheet for it","not required — absence of a published document","","","2026-09-06","INEC has since published a sheet for this unit; verified by re-polling IReV on 2026-09-06 across all 3,763 polling units. The absence was true when the audit ran and is no longer true. The sheet is readable and should be audited."
"NO-SHEET/29/19/09/006","no sheet published","29/19/09/006","Ilesa West","Ereja","SPACE BESIDE BANUSO","","","","INEC published no EC8A result sheet for this polling unit.","the register lists the unit; the IReV portal has no sheet for it","not required — absence of a published document","","","2026-09-06","INEC has since published a sheet for this unit; verified by re-polling IReV on 2026-09-06 across all 3,763 polling units. The absence was true when the audit ran and is no longer true. The sheet is readable and should be audited."
"NO-SHEET/29/19/09/003","no sheet published","29/19/09/003","Ilesa West","Ereja","POST OFFICE","","","","INEC published no EC8A result sheet for this polling unit.","the register lists the unit; the IReV portal has no sheet for it","not required — absence of a published document","","","",""
"NO-SHEET/29/19/04/003","no sheet published","29/19/04/003","Ilesa West","Omofe/Idasa","HOLY TRINITY 'A' SCHOOL, OMOFE II","","","","INEC published no EC8A result sheet for this polling unit.","the register lists the unit; the IReV portal has no sheet for it","not required — absence of a published document","","","2026-09-06","INEC has since published a sheet for this unit; verified by re-polling IReV on 2026-09-06 across all 3,763 polling units. The absence was true when the audit ran and is no longer true. The sheet is readable and should be audited."
"NO-SHEET/29/21/05/015","no sheet published","29/21/05/015","Irewole","Ikire 'E'","OPEN SPACE, WATER RESERVOIR, OKE-IRORUN, IKIRE","","","","INEC published no EC8A result sheet for this polling unit.","the register lists the unit; the IReV portal has no sheet for it","not required — absence of a published document","","","2026-09-06","INEC has since published a sheet for this unit; verified by re-polling IReV on 2026-09-06 across all 3,763 polling units. The absence was true when the audit ran and is no longer true. The sheet is readable and should be audited."
"NO-SHEET/29/24/07/014","no sheet published","29/24/07/014","Obokun","Esa-Oke","KAJOLA PRIMARY HEALTH CENTRE","","","","INEC published no EC8A result sheet for this polling unit.","the register lists the unit; the IReV portal has no sheet for it","not required — absence of a published document","","","2026-09-06","INEC has since published a sheet for this unit; verified by re-polling IReV on 2026-09-06 across all 3,763 polling units. The absence was true when the audit ran and is no longer true. The sheet is readable and should be audited."
"NO-SHEET/29/25/02/002","no sheet published","29/25/02/002","Odo-Otin","Baale","SHOPPING COMPLEX, EKUSA RAOD, OKUKU","","","","INEC published no EC8A result sheet for this polling unit.","the register lists the unit; the IReV portal has no sheet for it","not required — absence of a published document","","","",""
"NO-SHEET/29/27/05/005","no sheet published","29/27/05/005","Olorunda","Owoope","FRONTAGE OF WOMEN/YOUTH CENTRE","","","","INEC published no EC8A result sheet for this polling unit.","the register lists the unit; the IReV portal has no sheet for it","not required — absence of a published document","","","",""
"NO-SHEET/29/30/04/002","no sheet published","29/30/04/002","Osogbo","Ataoja 'D'","OGO-OLUWA KITAN   I","","","","INEC published no EC8A result sheet for this polling unit.","the register lists the unit; the IReV portal has no sheet for it","not required — absence of a published document","","","",""
"DISCREPANCY/29-01-02-004/hand-confirmed","sheet does not reconcile","29-01-02-004","","","","","","","This sheet does not reconcile: 347 ballots were cast (339 valid + 8 rejected) against 345 accredited voters. Box #2 was re-read at 7x magnification and is unambiguously 345.","read from the image at magnification by a human during calibration","calibration review","","29-01-02-004.jpg","",""
"DISCREPANCY/29-01-03-003/hand-confirmed","sheet does not reconcile","29-01-03-003","","","","","","","This sheet does not reconcile: it carries three different totals for the same quantity — the party column sums to 348, the officer's own TOTAL line reads 347, and box #7 reads 349.","read from the image at magnification by a human during calibration","calibration review","","29-01-03-003.jpg","",""
